"","child","parent","edgeWt"
"1","5601T","Hutcheson",1
"2","Adams","Dunfield",1
"4","A.K. (Harrow)","A.K.",1
"5","Altona","Flambeau",1
"6","Amcor","Amsoy 71",1
"7","Amsoy","Adams",1
"8","Amsoy 71","C1253",1
"9","Anderson","Lincoln",1
"12","Bay","York",1
"13","Bedford","Forrest",1
"14","Beeson","Kent",1
"15","Blackhawk","Richland",1
"16","Bonus","C1266R",1
"17","Bradley","J74-39",1
"18","Bragg","Jackson",1
"19","Bragg x D60-7965","Bragg",1
"20","Braxton","F59-1505",1
"21","Brim","Young",1
"22","C1069","Lincoln",1
"23","C1079","Lincoln",1
"24","C1253","Blackhawk",1
"25","C1266R","Harosoy",1
"26","Calland","Kent",1
"27","Capital","A.K. (Harrow)",1
"28","Centennial","D64-4636",1
"29","Century","Calland",1
"30","Chippewa","Lincoln",1
"31","Clark","Lincoln",1
"32","Clark x Blackhawk","Clark",1
"33","Clark x CNS","Clark",1
"35","CNS","Clemson",1
"36","Columbus","Clark",1
"37","Cook","Young",1
"38","Corsoy","Capital",1
"39","Crawford","Williams",1
"40","Cumberland","Corsoy",1
"41","Custer","Peking x Scott",1
"42","Cutler","C1069",1
"43","D49-2491","S 100",1
"44","D49-2491 x Jackson","Jackson",1
"45","D49-2510","CNS",1
"46","D51-2427","Ralsoy",1
"47","D52-810","N48-1101",1
"48","D55-4090","Ogden",1
"49","D55-4159","Ogden",1
"50","D55-4168","Ogden",1
"51","D56-1185","Perry",1
"52","D58-3358","D49-2491",1
"53","D59-5289","Hood",1
"54","D59-9289","D55-4168",1
"55","D60-7965","D55-4159",1
"56","D60-9647","D49-2510",1
"57","D61-618","Hill",1
"58","D64-4636","D49-2491 x Jackson",1
"59","D65-6765","D58-3358",1
"60","D67-3297","PI171450",1
"61","D68-127","Bragg",1
"62","D68-18","Dyer",1
"63","D70-3115","D64-4636",1
"64","Dare","D52-810",1
"65","Davis","Ralsoy x Ogden",1
"66","Davis x Peking","Davis",1
"67","Dawson","Evans",1
"68","Dillon","Young",1
"69","Dorman","Arksoy",1
"70","Douglas","Calland",1
"72","Dunfield x Haberlandt","Dunfield",1
"73","Dyer","Hill",1
"74","Elf","Williams",1
"75","Epps","J74-47",1
"76","Essex","Lee",1
"77","Essex x L69-4143","Essex",1
"78","Evans","Merit",1
"79","F59-1505","Jackson",1
"80","Ford","Richland",1
"81","Forrest","Bragg",1
"82","Franklin","Clark",1
"83","Fremont","Williams",1
"84","Gasoy","Bragg",1
"85","Gnome","Williams",1
"86","Gordon","Forrest",1
"87","Hagood","Centennial",1
"88","Harcor","Corsoy",1
"89","Hark","Hawkeye",1
"90","Harosoy","A.K. (Harrow)",1
"91","Harosoy 63","Blackhawk",1
"92","Hawkeye","Richland",1
"93","Hill","Dunfield x Haberlandt",1
"94","Hodgson","Corsoy",1
"95","Holladay","N77-179",1
"96","Hood","N45-745",1
